id,effect_on_max,consumption,ratio
454,1041.5999999999767,963787.7999999999,0.0010807358217233885
551,778.7999999999884,721104.0000000008,0.0010800106503361339
23,2804.4000000000233,2605760.3999999994,0.0010762309535443182
926,503.0,467901.5,0.0010750125827765032
518,136.75,127398.25,0.001073405639402425
451,460.0,429600.0,0.0010707635009310987
739,356.20000000001164,333545.16000000027,0.0010679213573358743
715,200.0,187727.5,0.0010653740128643912
470,99.0,93042.3125,0.001064032023064775
719,135.5,128169.0,0.0010571979183733977
711,758.3520000000135,718896.2400000001,0.0010548838035375082
491,1476.5999999999767,1405485.5999999992,0.0010505977435841232
860,660.640000000014,629617.1200000006,0.0010492726119010446
1004,873.5999999999767,835070.400000001,0.0010461393434613125
735,130.79999999998836,125161.50000000006,0.0010450497956639086
927,1167.039999999979,1117049.1199999996,0.0010447526246652246
